,Country,Obesity,Confirmed,Cluster
0,Afghanistan,4.5,0.00649019504757899,0.0
1,Albania,22.3,0.0276067179846046,1.0
2,Algeria,26.6,0.00989494539925356,1.0
3,Angola,6.8,0.000111369204823878,0.0
4,Antigua and Barbuda,19.1,0.0257731958762887,1.0
5,Argentina,28.5,0.0104163421526959,1.0
6,Armenia,20.9,0.0767386900742741,1.0
7,Australia,30.4,0.0268682078640585,1.0
8,Austria,21.9,0.175261912808381,1.0
9,Azerbaijan,19.9,0.0188965379626858,1.0
10,Bahamas,32.1,0.0213367609254499,1.0
11,Bangladesh,3.4,0.00537066115954957,0.0
12,Barbados,24.8,0.0282229965156794,1.0
13,Belarus,26.6,0.16719129608112399,1.0
14,Belgium,24.5,0.432160935590854,2.0
15,Belize,22.4,0.00441176470588235,1.0
16,Benin,8.2,0.0007626472332853151,0.0
17,Bolivia,18.7,0.0107149084568439,1.0
18,Bosnia and Herzegovina,19.4,0.0526481534497567,1.0
19,Botswana,16.1,0.00100744634253176,0.0
20,Brazil,22.3,0.0463856457684444,1.0
21,Bulgaria,27.4,0.0228530465949821,1.0
22,Burkina Faso,4.5,0.0032085035185276303,0.0
23,Cabo Verde,10.6,0.0276363636363636,0.0
24,Cambodia,3.5,0.000739976951537575,0.0
25,Cameroon,9.5,0.00802674292780955,0.0
26,Canada,31.3,0.154828535535776,1.0
27,Central African Republic,6.3,0.0015173867228661698,0.0
28,Chad,4.8,0.000715596330275229,0.0
29,Chile,28.8,0.096482964358612,1.0
30,China,6.6,0.00600552205603599,0.0
31,Colombia,22.1,0.014461825544924001,1.0
32,Congo,8.4,0.0167812674224122,0.0
33,Costa Rica,25.7,0.0144861660079051,1.0
34,Cote d'Ivoire,9.0,0.00533824566904445,0.0
35,Croatia,27.1,0.0514919852034525,1.0
36,Cuba,26.7,0.014368533713878,1.0
37,Cyprus,22.6,0.06912,1.0
38,Czechia,28.5,0.072680412371134,1.0
39,Denmark,21.3,0.165062725554219,1.0
40,Djibouti,12.2,0.114168377823409,0.0
41,Dominica,28.2,0.0222222222222222,1.0
42,Dominican Republic,26.9,0.0728653846153846,1.0
43,Ecuador,19.3,0.159045633541811,1.0
44,Egypt,31.1,0.00625151417265606,1.0
45,El Salvador,22.7,0.0069104431360396705,1.0
46,Estonia,23.8,0.127936746987952,1.0
47,Eswatini,13.5,0.00985401459854015,0.0
48,Ethiopia,3.6,0.000118666297879175,0.0
49,Fiji,30.0,0.0020179372197309396,1.0
50,Finland,24.9,0.0937511320412969,1.0
51,France,23.2,0.259922263010149,2.0
52,Gabon,13.4,0.0153952205882353,0.0
53,Gambia,8.7,0.000724020442930153,0.0
54,Georgia,23.3,0.0145609206905179,1.0
55,Germany,25.7,0.198516245487365,1.0
56,Ghana,9.7,0.0071629074337043,0.0
57,Greece,27.4,0.0244836931127932,1.0
58,Grenada,20.2,0.01875,1.0
59,Guatemala,18.8,0.0039133155110630796,1.0
60,Guinea,6.6,0.0129808479292847,0.0
61,Guinea-Bissau,8.2,0.0136774880255455,0.0
62,Guyana,19.2,0.0104725415070243,1.0
63,Haiti,20.5,0.000754683476871171,1.0
64,Honduras,19.4,0.0103632259388467,1.0
65,Hungary,28.6,0.0301125895598772,1.0
66,Iceland,23.1,0.498060941828255,2.0
67,India,3.8,0.0028521752874698697,0.0
68,Indonesia,6.9,0.00403957991051304,0.0
69,Iran (Islamic Republic of),25.5,0.114940830165294,1.0
70,Iraq,27.4,0.00564487407784279,1.0
71,Ireland,26.9,0.428750759263009,2.0
72,Israel,26.7,0.18998708768634803,1.0
73,Italy,22.9,0.34688540889883196,2.0
74,Jamaica,24.4,0.0164710067591604,1.0
75,Japan,4.4,0.0115477888730385,0.0
76,Jordan,33.4,0.00440655235175783,1.0
77,Kazakhstan,21.3,0.0208385109946513,1.0
78,Kenya,6.0,0.000827405181268307,0.0
79,"Korea, South",4.9,0.0208174208232072,0.0
80,Kuwait,37.0,0.109793201806513,1.0
81,Kyrgyzstan,15.4,0.0119095555211398,0.0
82,Lao People's Democratic Republic,4.5,0.000266292922214436,0.0
83,Latvia,25.7,0.04553058024046,1.0
84,Lebanon,31.3,0.0106913652275379,1.0
85,Liberia,8.6,0.0031193032205793,0.0
86,Lithuania,28.4,0.050448510943667,1.0
87,Luxembourg,24.2,0.6148387096774189,2.0
88,Madagascar,4.5,0.000500574733953799,0.0
89,Malawi,4.7,0.000203983037200064,0.0
90,Malaysia,15.3,0.0188562879736207,0.0
91,Maldives,7.9,0.0970093457943925,0.0
92,Mali,7.1,0.0027673211923898698,0.0
93,Malta,31.0,0.0936,1.0
94,Mauritania,11.3,0.000176756517896597,0.0
95,Mauritius,11.5,0.0262243285939968,0.0
96,Mexico,28.4,0.0174502476753281,1.0
97,Mongolia,19.6,0.0011930253900275301,1.0
98,Montenegro,24.9,0.0517684887459807,1.0
99,Morocco,25.6,0.0132885604293703,1.0
100,Mozambique,6.0,0.000260159388790094,0.0
101,Namibia,15.0,0.0006412825651302599,0.0
102,Nepal,3.8,0.00020622880911601202,0.0
103,Netherlands,23.1,0.23325064897606002,2.0
104,New Zealand,32.0,0.0299014679268047,1.0
105,Nicaragua,21.8,0.000213871066300031,1.0
106,Niger,4.7,0.0031573077088070003,0.0
107,Nigeria,7.8,0.00118827252642264,0.0
108,North Macedonia,23.9,0.0724735322425409,1.0
109,Norway,25.0,0.146099158091674,1.0
110,Oman,22.9,0.0528860489882854,1.0
111,Pakistan,7.8,0.00882090827234318,0.0
112,Panama,22.5,0.168049300782176,1.0
113,Paraguay,19.0,0.00517048630519844,1.0
114,Peru,19.1,0.13383468109877,1.0
115,Philippines,6.0,0.008257720802464001,0.0
116,Poland,25.6,0.0348307291666667,1.0
117,Portugal,23.2,0.245301392540656,2.0
118,Republic of Moldova,20.1,0.11436635619531502,1.0
